iter	RMSE
0	14.52794043
1	14.04998647
2	13.57541256
3	13.15930677
4	12.71748229
5	12.33960715
6	11.94827492
7	11.59085328
8	11.24639782
9	11.00788268
10	10.69741895
11	10.45028981
12	10.17050387
13	9.905828498
14	9.661584073
15	9.424698061
16	9.185120046
17	8.975981768
18	8.778949278
19	8.573973471
20	8.396735955
21	8.214063625
22	8.035862653
23	7.904348955
24	7.745673143
25	7.623705841
26	7.51026006
27	7.385198886
28	7.264759588
29	7.15290213
30	7.038300584
31	6.932384789
32	6.831528365
33	6.754146292
34	6.665234284
35	6.580877091
36	6.50914528
37	6.439903162
38	6.373001434
39	6.301253933
40	6.242339027
41	6.188807592
42	6.136627457
43	6.088827824
44	6.043507305
45	6.001187615
46	5.964093612
47	5.927400657
48	5.89365637
49	5.858879351
50	5.827195574
51	5.793124819
52	5.755731246
53	5.728442606
54	5.700374635
55	5.668664927
56	5.64038306
57	5.616187914
58	5.593594357
59	5.567426056
60	5.549396694
61	5.525142232
62	5.506656864
63	5.490478232
64	5.475668562
65	5.467244925
66	5.449499298
67	5.429732092
68	5.408363769
69	5.387399686
70	5.36898354
71	5.356345664
72	5.341646682
73	5.327170672
74	5.310841746
75	5.294059121
76	5.279114805
77	5.260447765
78	5.248999494
79	5.240340322
80	5.225961455
81	5.213426718
82	5.19834555
83	5.188493589
84	5.180025401
85	5.170905488
86	5.160815771
87	5.151621151
88	5.140901945
89	5.127613496
90	5.115412319
91	5.106860618
92	5.098470932
93	5.087735381
94	5.078753199
95	5.074193087
96	5.072526138
97	5.065404009
98	5.059711915
99	5.054453155
100	5.04567565
101	5.03902768
102	5.030318831
103	5.021015393
104	5.010502962
105	5.002051508
106	4.995997206
107	4.991160633
108	4.986620172
109	4.98231347
110	4.975211354
111	4.971806601
112	4.967696688
113	4.960597026
114	4.954518349
115	4.949357723
116	4.94429086
117	4.941390257
118	4.938483464
119	4.933308852
120	4.928304818
121	4.92338817
122	4.918481458
123	4.913541002
124	4.910305883
125	4.903825612
126	4.895821633
127	4.892122632
128	4.887885523
129	4.880698776
130	4.872423331
131	4.868951358
132	4.865972173
133	4.858458528
134	4.855549773
135	4.852900013
136	4.846054522
137	4.842806474
138	4.84008794
139	4.838105353
140	4.832291865
141	4.826202948
142	4.819441118
143	4.811978629
144	4.805991308
145	4.798783077
146	4.794416906
147	4.787361806
148	4.78402918
149	4.777320801
150	4.772876776
151	4.767611684
152	4.763656432
153	4.756827929
154	4.750488042
155	4.747072262
156	4.74227438
157	4.738604222
158	4.727257581
159	4.724738042
160	4.721611284
161	4.718328983
162	4.707822819
163	4.705507214
164	4.701049025
165	4.699047099
166	4.69320592
167	4.689467915
168	4.68648496
169	4.682035668
170	4.677978408
171	4.6726676
172	4.669118602
173	4.663084466
174	4.656900003
175	4.652063948
176	4.648924632
177	4.644080176
178	4.641538923
179	4.639915842
180	4.636010306
181	4.628754132
182	4.626548283
183	4.623944612
184	4.621507564
185	4.615669605
186	4.614251199
187	4.613780305
188	4.611410143
189	4.606874987
190	4.604201253
191	4.598590424
192	4.594262012
193	4.589036952
194	4.588379212
195	4.587008676
196	4.583363654
197	4.580653307
198	4.580511526
199	4.573383624
