iter	Passed	Remaining
0	48	47975
1	50	25148
2	52	17418
3	53	13297
4	54	10834
5	55	9190
6	56	8012
7	57	7123
8	58	6430
9	59	5870
10	60	5414
11	61	5034
12	62	4717
13	63	4445
14	64	4209
15	65	4000
16	65	3809
17	66	3638
18	68	3533
19	70	3449
20	72	3365
21	74	3293
22	75	3223
23	77	3153
24	78	3063
25	80	3000
26	81	2933
27	82	2873
28	84	2815
29	85	2761
30	86	2701
31	87	2641
32	88	2589
33	89	2531
34	89	2476
35	90	2424
36	91	2373
37	91	2325
38	92	2281
39	93	2240
40	94	2201
41	94	2164
42	95	2127
43	96	2091
44	96	2057
45	98	2033
46	98	2002
47	99	1972
48	100	1943
49	100	1916
50	101	1889
51	102	1864
52	103	1840
53	103	1817
54	104	1794
55	105	1771
56	105	1748
57	106	1727
58	107	1708
59	107	1689
60	108	1671
61	109	1653
62	110	1636
63	110	1618
64	111	1602
65	112	1585
66	112	1570
67	113	1550
68	113	1534
69	114	1520
70	115	1505
71	115	1491
72	116	1477
73	116	1463
74	117	1451
75	118	1438
76	118	1425
77	119	1415
78	120	1403
79	121	1391
80	121	1381
81	122	1370
82	123	1359
83	123	1348
84	124	1335
85	124	1325
86	125	1312
87	125	1302
88	126	1293
89	127	1284
90	127	1275
91	128	1267
92	129	1258
93	129	1250
94	130	1242
95	131	1233
96	131	1225
97	132	1217
98	133	1210
99	133	1203
100	134	1196
101	134	1186
102	135	1180
103	137	1180
104	138	1182
105	139	1175
106	140	1168
107	140	1161
108	141	1155
109	142	1149
110	142	1142
111	145	1150
112	146	1152
113	148	1152
114	149	1151
115	151	1151
116	152	1149
117	153	1147
118	154	1144
119	155	1142
120	157	1140
121	158	1138
122	158	1130
123	160	1131
124	161	1129
125	162	1126
126	163	1124
127	164	1117
128	165	1118
129	166	1116
130	168	1114
131	169	1113
132	170	1111
133	171	1109
134	172	1107
135	174	1105
136	175	1103
137	176	1100
138	177	1099
139	178	1097
140	180	1096
141	181	1094
142	182	1092
143	183	1091
144	184	1089
145	186	1088
146	187	1086
147	188	1084
148	189	1081
149	190	1080
150	191	1078
151	192	1076
152	194	1074
153	195	1072
154	196	1070
155	197	1068
156	198	1066
157	199	1063
158	200	1061
159	201	1058
160	202	1053
161	202	1049
162	203	1044
163	204	1040
164	204	1035
165	205	1031
166	205	1027
167	206	1022
168	207	1018
169	207	1014
170	208	1010
171	208	1005
172	209	1002
173	210	998
174	211	998
175	212	996
176	213	992
177	213	988
178	214	984
179	215	980
180	215	974
181	216	970
182	216	967
183	217	963
184	217	959
185	218	956
186	219	952
187	219	949
188	220	945
189	221	942
190	221	939
191	222	936
192	223	933
193	223	929
194	224	926
195	225	923
196	225	920
197	226	916
198	227	913
199	227	910
200	228	907
201	228	904
202	229	901
203	230	898
204	230	895
205	231	892
206	232	889
207	232	886
208	233	883
209	234	880
210	235	882
211	236	879
212	237	877
213	238	874
214	238	871
215	239	868
216	239	865
217	240	862
218	241	859
219	241	857
220	242	855
221	243	852
222	243	849
223	244	846
224	244	843
225	245	840
226	245	837
227	246	834
228	247	832
229	247	829
230	248	826
231	249	824
232	249	821
233	250	819
234	250	816
235	251	814
236	252	811
237	252	809
238	253	806
239	253	804
240	254	802
241	255	800
242	256	797
243	256	795
244	257	792
245	257	790
246	258	788
247	259	785
248	259	783
249	260	781
250	260	778
251	261	776
252	262	774
253	262	771
254	263	769
255	264	767
256	264	765
257	265	763
258	265	761
259	266	758
260	267	756
261	267	754
262	268	752
263	269	750
264	269	748
265	270	746
266	271	744
267	271	742
268	272	740
269	273	738
270	273	736
271	274	734
272	274	732
273	275	730
274	276	728
275	276	726
276	277	724
277	278	722
278	278	720
279	279	718
280	280	716
281	280	714
282	281	712
283	282	711
284	282	709
285	283	707
286	283	705
287	284	703
288	285	701
289	285	699
290	286	697
291	286	695
292	287	693
293	288	692
294	288	690
295	289	688
296	290	686
297	290	684
298	291	682
299	291	680
300	292	679
301	293	677
302	293	676
303	294	674
304	295	673
305	296	671
306	297	670
307	298	670
308	300	671
309	301	671
310	303	671
311	304	671
312	305	671
313	307	670
314	308	670
315	309	670
316	311	670
317	311	668
318	312	667
319	313	665
320	313	663
321	314	662
322	315	660
323	315	658
324	316	657
325	317	655
326	317	654
327	318	652
328	319	650
329	319	649
330	320	647
331	321	646
332	321	644
333	322	643
334	323	641
335	324	640
336	324	638
337	325	637
338	326	635
339	326	634
340	327	633
341	328	631
342	328	629
343	329	628
344	330	626
345	330	625
346	331	623
347	332	622
348	332	620
349	333	619
350	334	618
351	334	616
352	335	614
353	336	613
354	336	611
355	337	610
356	337	608
357	338	607
358	339	605
359	339	604
360	340	602
361	341	601
362	341	599
363	342	598
364	343	596
365	343	595
366	344	594
367	345	592
368	345	591
369	346	590
370	347	588
371	347	587
372	348	585
373	348	584
374	349	582
375	350	581
376	350	579
377	351	578
378	352	577
379	352	575
380	353	574
381	354	572
382	354	571
383	355	569
