iter	Passed	Remaining
0	49	49202
1	51	25873
2	56	18843
3	59	14811
4	61	12263
5	63	10552
6	66	9497
7	69	8575
8	71	7923
9	73	7228
10	73	6630
11	74	6155
12	75	5735
13	76	5384
14	77	5066
15	77	4787
16	78	4543
17	79	4347
18	80	4151
19	81	3977
20	81	3819
21	82	3686
22	83	3553
23	84	3429
24	85	3315
25	85	3209
26	86	3111
27	87	3021
28	87	2937
29	88	2858
30	89	2792
31	90	2723
32	90	2658
33	91	2597
34	92	2538
35	92	2484
36	93	2431
37	94	2387
38	95	2343
39	96	2308
40	96	2265
41	97	2224
42	98	2184
43	98	2146
44	99	2110
45	100	2074
46	100	2043
47	101	2015
48	102	1990
49	103	1961
50	103	1932
51	105	1929
52	107	1922
53	109	1910
54	110	1899
55	112	1894
56	113	1871
57	113	1850
58	114	1834
59	115	1812
60	116	1792
61	117	1772
62	117	1752
63	118	1733
64	119	1714
65	119	1696
66	120	1682
67	121	1669
68	122	1653
69	123	1637
70	123	1620
71	125	1611
72	125	1597
73	126	1584
74	127	1574
75	130	1582
76	133	1596
77	135	1600
78	137	1601
79	139	1606
80	142	1611
81	144	1613
82	144	1599
83	146	1595
84	148	1598
85	151	1612
86	153	1609
87	154	1597
88	154	1585
89	155	1572
90	156	1561
91	156	1549
92	157	1537
93	158	1525
94	159	1520
95	160	1509
96	161	1498
97	161	1488
98	162	1478
99	163	1468
100	163	1458
101	164	1448
102	165	1443
103	166	1433
104	167	1430
105	168	1421
106	169	1412
107	169	1403
108	170	1395
109	171	1386
110	172	1383
111	173	1375
112	174	1367
113	175	1362
114	176	1354
115	176	1346
116	177	1337
117	177	1329
118	179	1326
119	179	1319
120	180	1312
121	181	1303
122	181	1296
123	182	1289
124	183	1282
125	183	1276
126	185	1271
127	185	1264
128	186	1258
129	187	1252
130	187	1245
131	188	1238
132	189	1232
133	190	1228
134	191	1225
135	191	1219
136	192	1213
137	193	1207
138	194	1202
139	194	1196
140	195	1190
141	195	1183
142	196	1177
143	197	1176
144	198	1170
145	199	1165
146	199	1160
147	200	1154
148	201	1149
149	201	1144
150	202	1139
151	203	1138
152	204	1133
153	205	1127
154	205	1122
155	207	1121
156	208	1116
157	208	1112
158	209	1107
159	210	1106
160	211	1100
161	211	1095
162	212	1092
163	213	1090
164	214	1086
165	215	1081
166	216	1077
167	216	1073
168	217	1068
169	218	1064
170	218	1060
171	219	1055
172	219	1051
173	220	1047
174	221	1042
175	222	1041
176	223	1037
177	223	1032
178	224	1031
179	225	1027
180	226	1023
181	226	1019
182	227	1016
183	228	1015
184	229	1011
185	230	1007
186	230	1003
187	231	999
188	232	995
189	232	992
190	233	988
191	233	984
192	236	988
193	237	985
194	237	981
195	238	977
196	238	973
197	239	969
198	240	966
199	240	962
200	241	958
201	242	956
202	242	953
203	243	950
204	244	947
205	244	943
206	245	940
207	246	938
208	247	935
209	248	934
210	249	932
211	250	929
212	250	926
213	251	923
214	252	920
215	252	917
216	253	914
217	254	913
218	255	911
219	256	908
220	256	905
221	257	902
222	258	899
223	258	896
224	259	894
225	260	892
226	261	890
227	262	888
228	262	885
229	263	882
230	264	880
231	265	877
232	265	875
233	267	874
234	268	873
235	268	870
236	269	868
237	270	866
238	271	864
239	272	861
240	273	860
241	274	860
242	276	860
243	277	858
244	278	856
245	278	854
246	280	854
247	280	851
248	281	849
249	282	846
250	282	844
251	283	841
252	284	839
253	284	836
254	285	835
255	286	833
256	287	831
257	288	828
258	288	826
259	289	824
260	290	822
261	291	819
262	292	819
263	293	817
264	293	814
265	294	812
266	295	810
267	295	808
268	296	806
269	297	803
270	298	803
271	299	801
272	300	799
273	301	797
274	301	795
275	302	793
276	303	791
277	303	789
278	305	788
279	305	786
280	306	784
281	307	782
282	308	780
283	308	778
284	309	776
285	310	774
286	311	773
287	312	771
288	312	769
289	313	767
290	314	765
291	314	763
292	315	760
293	316	759
294	316	757
295	318	756
296	318	754
297	320	754
298	321	752
299	321	750
300	322	748
301	322	746
302	324	745
303	324	743
304	325	741
305	325	738
306	326	736
307	327	734
308	327	732
309	328	730
310	328	728
311	329	726
312	330	725
313	331	724
314	331	721
315	333	721
316	333	719
317	334	717
318	335	715
319	335	713
320	336	711
321	337	710
322	337	708
323	338	707
324	339	705
325	340	703
326	340	701
327	341	699
328	342	697
329	343	696
330	343	694
331	344	692
332	344	690
333	345	688
334	346	687
335	346	685
336	347	683
337	347	681
338	348	679
339	349	678
340	350	676
341	350	674
342	351	673
343	351	671
344	352	669
345	353	667
346	353	665
347	354	663
348	354	661
349	355	660
350	356	659
351	357	657
352	357	655
353	360	657
354	361	657
355	362	655
356	363	653
357	363	652
358	364	650
359	364	648
360	365	646
361	365	644
362	366	643
363	367	642
364	368	641
365	369	639
366	369	637
367	370	636
368	371	634
369	371	633
370	372	631
371	373	630
372	374	629
373	375	628
374	376	626
375	376	625
376	377	623
377	378	622
378	378	620
379	379	619
380	380	618
381	381	617
382	382	615
383	383	614
384	383	613
385	384	611
386	385	610
387	386	609
388	386	607
389	387	606
390	388	604
391	388	603
392	390	602
393	391	601
394	391	599
395	392	599
396	393	598
397	394	596
398	395	595
399	395	593
400	396	592
401	397	590
402	397	589
403	398	588
404	399	587
405	400	585
406	400	584
407	401	582
408	402	581
409	402	579
410	403	578
411	404	577
412	405	575
413	405	574
414	406	572
415	407	571
416	407	569
417	408	568
418	408	567
419	409	565
420	410	564
421	410	562
422	411	561
423	412	560
424	413	558
425	413	557
426	414	555
427	415	554
428	415	553
429	416	551
430	416	550
431	417	549
432	418	548
433	419	546
434	419	545
435	420	543
436	420	542
437	421	540
438	422	539
439	422	537
440	423	536
441	423	535
442	424	534
443	425	532
444	425	531
445	426	529
446	427	528
447	427	527
448	428	525
449	428	524
450	429	522
451	430	521
452	430	520
453	431	518
454	432	517
455	432	516
456	433	514
457	433	513
458	434	512
459	435	510
460	435	509
461	436	508
462	437	506
463	438	505
464	438	504
465	439	503
466	439	501
467	440	500
468	440	499
469	441	497
470	442	496
471	442	495
472	443	494
473	444	492
474	444	491
475	445	490
476	445	488
477	446	487
478	447	486
479	447	484
480	448	483
481	448	482
482	449	481
483	450	480
484	451	479
485	451	477
486	452	476
487	453	475
488	453	474
489	454	473
490	455	472
491	457	471
492	457	470
493	458	469
494	458	468
495	459	466
496	460	465
497	460	464
498	461	463
499	462	462
500	463	461
501	464	460
502	465	459
503	465	458
504	466	456
505	466	455
506	467	454
507	467	453
508	468	451
509	469	451
510	470	450
511	471	449
512	471	447
513	472	446
514	472	445
515	473	444
516	474	443
517	474	441
518	476	441
519	477	440
520	477	439
521	478	438
522	479	436
523	479	435
524	480	434
525	480	433
526	481	432
527	482	431
528	483	430
529	483	429
530	484	427
531	485	426
532	486	425
533	487	425
534	487	424
535	489	423
536	489	422
537	490	421
538	491	420
539	492	419
540	493	418
541	494	417
542	495	417
543	496	416
544	496	414
545	497	413
546	498	412
547	498	411
548	499	410
549	500	409
550	500	407
551	501	407
552	502	406
553	503	405
554	504	404
555	504	403
556	505	402
557	506	401
558	509	401
559	510	401
560	512	401
561	514	401
562	516	400
563	517	400
564	518	399
565	519	398
566	521	397
567	522	397
568	523	396
569	524	395
570	525	395
571	527	394
572	528	393
573	529	393
574	531	392
575	533	392
576	534	391
577	536	391
578	537	390
579	538	390
580	540	389
581	542	389
582	543	388
583	545	388
584	546	387
585	547	387
586	549	386
587	550	385
588	551	385
589	552	384
590	553	382
591	554	381
592	554	380
593	555	379
594	555	378
595	556	377
596	557	376
597	557	374
598	558	373
599	559	372
600	559	371
601	560	370
602	561	369
603	561	368
604	562	367
605	563	366
606	563	364
607	564	363
608	565	362
609	565	361
610	566	360
611	566	359
612	567	358
613	568	357
614	568	356
615	569	355
616	571	354
617	571	353
618	572	352
619	573	351
620	575	350
621	575	349
622	576	348
623	576	347
624	577	346
625	578	345
626	578	344
627	579	343
628	580	342
629	580	341
630	581	340
631	582	338
632	582	337
633	583	336
634	584	335
635	584	334
636	585	333
637	586	332
638	586	331
639	587	330
640	588	329
641	588	328
642	589	327
643	590	326
644	590	325
645	591	324
646	591	322
647	592	321
648	593	321
649	594	320
650	594	318
651	595	317
652	596	316
653	596	315
654	597	314
655	597	313
656	598	312
657	599	311
658	599	310
659	600	309
660	600	308
661	601	307
662	602	306
663	602	305
664	604	304
665	605	303
666	606	302
667	606	301
668	607	300
669	607	299
670	608	298
671	609	297
672	609	296
673	610	295
674	610	294
675	611	292
676	611	291
677	612	290
678	613	289
679	613	288
680	614	287
681	615	286
682	615	285
683	616	284
684	616	283
685	617	282
686	618	281
687	618	280
688	619	279
689	619	278
690	620	277
691	620	276
692	621	275
693	622	274
694	622	273
695	623	272
696	623	271
697	624	270
698	624	269
699	625	268
700	626	267
701	626	265
702	627	265
703	628	264
704	629	263
705	629	262
706	630	261
707	631	260
708	631	259
709	632	258
710	633	257
711	633	256
712	634	255
713	634	254
714	636	253
715	636	252
716	637	251
717	638	250
718	638	249
719	639	248
720	639	247
721	640	246
722	641	245
723	641	244
724	642	243
725	643	242
726	644	241
727	644	240
728	645	240
729	646	239
730	646	238
731	647	237
732	648	236
733	648	235
734	649	234
735	650	233
736	650	232
737	651	231
738	652	230
739	652	229
740	653	228
741	654	227
742	654	226
743	655	225
744	655	224
745	656	223
746	657	222
747	657	221
748	658	220
749	659	219
750	660	218
751	660	217
752	661	216
753	662	216
754	662	215
755	663	214
756	664	213
757	664	212
758	665	211
759	666	210
760	666	209
761	667	208
762	667	207
763	668	206
764	669	205
765	669	204
766	670	203
767	671	202
768	671	201
769	672	200
770	673	199
771	673	199
772	674	198
773	675	197
774	676	196
775	676	195
776	677	194
777	678	193
778	678	192
779	679	191
780	680	190
781	680	189
782	681	188
783	682	187
784	682	187
785	683	186
786	684	185
787	684	184
788	685	183
789	685	182
790	686	181
791	687	180
792	687	179
793	688	178
794	689	177
795	689	176
796	690	175
797	691	174
798	691	174
799	692	173
800	693	172
801	694	171
802	694	170
803	695	169
804	695	168
805	696	167
806	697	166
807	697	165
808	698	164
809	699	163
810	699	163
811	700	162
812	700	161
813	701	160
814	702	159
815	702	158
816	703	157
817	704	156
818	704	155
819	705	154
820	706	153
821	706	153
822	707	152
823	708	151
824	708	150
825	709	149
826	710	148
827	710	147
828	711	146
829	712	145
830	712	144
831	713	144
832	713	143
833	714	142
834	715	141
835	716	140
836	716	139
837	717	138
838	718	137
839	718	136
840	719	136
841	720	135
842	721	134
843	722	133
844	723	132
845	724	131
846	724	130
847	725	130
848	725	129
849	726	128
850	727	127
851	728	126
852	728	125
853	729	124
854	730	123
855	730	122
856	731	122
857	732	121
858	735	120
859	736	119
860	737	119
861	739	118
862	740	117
863	741	116
864	743	115
865	744	115
866	745	114
867	747	113
868	748	112
869	749	112
870	751	111
871	753	110
872	754	109
873	755	108
874	757	108
875	758	107
876	759	106
877	761	105
878	762	104
879	763	104
880	765	103
881	766	102
882	768	101
883	769	101
884	771	100
885	772	99
886	774	98
887	775	97
888	776	96
889	776	96
890	777	95
891	778	94
892	778	93
893	779	92
894	779	91
895	780	90
896	781	89
897	781	88
898	782	87
899	783	87
900	783	86
901	785	85
902	786	84
903	788	83
904	789	82
905	790	82
906	792	81
907	793	80
908	795	79
909	797	78
910	798	78
911	801	77
912	802	76
913	803	75
914	805	74
915	812	74
916	814	73
917	817	72
918	819	72
919	822	71
920	823	70
921	828	70
922	830	69
923	834	68
924	836	67
925	836	66
926	839	66
927	842	65
928	843	64
929	847	63
930	852	63
931	856	62
932	859	61
933	860	60
934	860	59
935	861	58
936	862	57
937	862	57
938	863	56
939	864	55
940	864	54
941	865	53
942	866	52
943	866	51
944	867	50
945	868	49
946	868	48
947	869	47
948	870	46
949	870	45
950	871	44
951	872	43
952	872	43
953	873	42
954	873	41
955	874	40
956	875	39
957	876	38
958	876	37
959	877	36
960	878	35
961	878	34
962	879	33
963	880	32
964	880	31
965	881	31
966	882	30
967	882	29
968	883	28
969	884	27
970	884	26
971	885	25
972	886	24
973	886	23
974	887	22
975	889	21
976	891	20
977	893	20
978	894	19
979	894	18
980	895	17
981	896	16
982	896	15
983	897	14
984	898	13
985	898	12
986	900	11
987	901	10
988	902	10
989	902	9
990	903	8
991	904	7
992	905	6
993	905	5
994	906	4
995	907	3
996	908	2
997	908	1
998	909	0
999	910	0
